date,predicted_total_revenue
2025-11-10,150.89449999999997
2025-11-11,164.208
2025-11-12,217.82699999999986
2025-11-13,276.35024999999956
2025-11-14,601.0424999999998
2025-11-15,511.98399999999936
2025-11-16,99.45075000000004
2025-11-17,146.3915000000001
2025-11-18,145.11025000000004
2025-11-19,178.67950000000002
2025-11-20,259.63774999999964
2025-11-21,592.5742499999998
2025-11-22,517.9187499999994
2025-11-23,98.21150000000003
2025-11-24,153.87675000000007
2025-11-25,142.50574999999998
2025-11-26,198.12399999999997
2025-11-27,267.12474999999944
2025-11-28,589.3712499999998
2025-11-29,509.75574999999947
2025-11-30,98.72200000000002
2025-12-01,152.91300000000007
2025-12-02,144.62099999999998
2025-12-03,181.03299999999996
2025-12-04,261.1082499999995
2025-12-05,594.1957499999996
2025-12-06,514.6862499999994
2025-12-07,97.98000000000003
2025-12-08,152.55775000000008
2025-12-09,142.43624999999997
2025-12-10,196.99274999999997
2025-12-11,267.49874999999946
2025-12-12,590.3607499999999
2025-12-13,509.75574999999947
2025-12-14,98.72200000000004
2025-12-15,152.55775000000006
2025-12-16,144.24224999999996
2025-12-17,188.11149999999995
2025-12-18,267.2402499999995
2025-12-19,590.8834999999999
2025-12-20,510.6382499999994
2025-12-21,98.72200000000004
2025-12-22,152.55775000000008
2025-12-23,142.92375
2025-12-24,185.82299999999995
2025-12-25,301.88399999999933
2025-12-26,590.0837499999997
2025-12-27,509.7557499999995
2025-12-28,98.03125000000004
2025-12-29,152.56625000000008
2025-12-30,144.07449999999997
2025-12-31,193.84574999999998
